accommodates,beds,bathrooms,number_of_reviews,review_scores_rating,neighbourhood_cleansed,tipologia,host_is_superhost,price,atratividade_bairro,dist_centro_km
2,1.0,1.0,471,4.71,Santa Maria Maior,T0,t,55.0,5,0.8249373806447059
2,1.0,1.0,233,4.98,Misericórdia,T0,f,115.0,5,1.183972024026944
2,1.0,1.0,641,4.82,Santa Maria Maior,T0,t,67.0,5,0.2989957141808099
3,2.0,1.0,163,4.64,Santa Maria Maior,T0,f,59.0,5,0.5073157771699809
4,3.0,1.0,178,4.83,Santa Maria Maior,T0,t,98.0,5,0.8791445233129738
4,3.0,1.0,702,4.86,Misericórdia,T0,t,125.0,5,1.1015820740323912
4,1.0,1.0,765,4.89,Misericórdia,T0,t,101.0,5,1.0919988774797091
2,2.0,1.0,735,4.88,Misericórdia,T0,t,89.0,5,1.026313795506503
2,1.0,1.0,613,4.58,Santa Maria Maior,T0,f,60.0,5,0.5707573909201333
2,1.0,1.0,146,4.52,Estrela,T0,f,46.0,4,2.7629822891513833
2,1.0,1.0,640,4.93,Santa Maria Maior,T0,t,119.0,5,0.5289071243418147
2,1.0,1.0,716,4.96,Santa Maria Maior,T0,t,143.0,5,0.6553821929132995
3,2.0,1.0,273,4.89,Santo António,T0,t,85.0,5,1.4944999826534797
2,1.0,1.0,527,4.8,Santa Maria Maior,T0,t,67.0,5,0.36801765210959336
2,1.0,1.0,270,4.68,Santa Maria Maior,T0,f,113.0,5,0.3779889688133643
2,1.0,1.0,365,4.9,Misericórdia,T0,t,77.0,5,1.0699127916242681
2,1.0,1.0,246,4.88,Santa Maria Maior,T0,t,63.0,5,0.7197324933795453
2,1.0,1.0,32,4.53,Santa Maria Maior,T0,f,105.0,5,0.4760003250650217
4,2.0,1.0,536,4.54,Santa Maria Maior,T0,t,62.0,5,0.5131895018426488
3,2.0,1.0,452,4.83,Santa Maria Maior,T0,f,85.0,5,0.7502570053705649
2,1.0,1.0,298,4.8,Santa Maria Maior,T0,f,95.0,5,0.9315963645873231
4,4.0,1.0,494,4.66,Misericórdia,T0,f,49.0,5,1.320771858471094
3,2.0,1.0,66,4.76,Alcântara,T0,f,41.0,3,3.987163126708914
2,1.0,1.0,292,4.81,Santa Maria Maior,T0,f,75.0,5,0.7996452170608305
2,2.0,1.0,269,4.88,Santa Maria Maior,T0,t,85.0,5,1.0521254035635705
2,1.0,1.0,51,4.82,Misericórdia,T0,f,61.0,5,1.3673598437907917
2,1.0,1.0,453,4.73,Santa Maria Maior,T0,f,35.0,5,0.9412920939861629
2,1.0,1.0,162,4.42,Arroios,T0,f,75.0,3,1.112741731030563
2,1.0,1.0,331,4.44,São Vicente,T0,f,35.0,4,1.6450901128615785
2,1.0,1.0,141,4.42,Parque das Nações,T0,f,67.0,3,7.511596791493931
3,2.0,1.0,249,4.8,São Vicente,T0,t,81.0,4,1.3642875799042726
4,1.0,1.0,265,4.96,Misericórdia,T0,t,90.0,5,0.8793661836900345
2,1.0,1.0,383,4.76,Santa Maria Maior,T0,t,66.0,5,0.7100963342758759
2,1.0,1.0,444,4.58,Santa Maria Maior,T0,f,79.0,5,0.5472227808508556
2,1.0,1.0,169,4.46,Santa Maria Maior,T0,f,44.0,5,0.9388064812489303
2,1.0,1.0,702,4.89,Misericórdia,T0,t,126.0,5,1.0145430612014
2,2.0,1.0,479,4.63,Santa Maria Maior,T0,f,65.0,5,1.2587680308946945
